Cod_Capitulo,Capitulo,Cod_SubCapitulo,SubCapitulo,Cod_Unidad_Ejecutora,Unidad_Ejecutora
203,MINISTERIO DE DEFENSA,1,MINISTERIO DE DEFENSA,28,UNIVERSIDAD NACIONAL PARA LA DEFENSA GENERAL JUAN PABLO DUARTE Y DIEZ (UNADE)
203,MINISTERIO DE DEFENSA,1,MINISTERIO DE DEFENSA,30,SERVICIO NACIONAL DE PROTECCION AMBIENTAL
203,MINISTERIO DE DEFENSA,1,MINISTERIO DE DEFENSA,31,DIRECCIÓN GENERAL DE LA INDUSTRIA MILITAR DE LAS FUERZAS ARMADAS
203,MINISTERIO DE DEFENSA,1,MINISTERIO DE DEFENSA,32,CUERPO DE SEGURIDAD PRESIDENCIAL (CUSEP)
203,MINISTERIO DE DEFENSA,2,EJERCITO DE LA  REPUBLICA DOMINICANA,1,EJERCITO DE LA REPUBLICA DOMINICANA
203,MINISTERIO DE DEFENSA,2,EJERCITO DE LA  REPUBLICA DOMINICANA,2,ACADEMIA MILITAR BATALLA DE LA CARRERA
203,MINISTERIO DE DEFENSA,2,EJERCITO DE LA  REPUBLICA DOMINICANA,3,ESCUELA DE GRADUADOS DE ESTUDIOS MILITARES DEL EJERCITO DE REP. DOM.
203,MINISTERIO DE DEFENSA,2,EJERCITO DE LA  REPUBLICA DOMINICANA,4,PRIMER REGIMIENTO DE LA GUARDIA PRESIDENCIAL
203,MINISTERIO DE DEFENSA,3,ARMADA DE LA REPUBLICA DOMINICANA,1,ARMADA DE LA REPUBLICA DOMINICANA
203,MINISTERIO DE DEFENSA,3,ARMADA DE LA REPUBLICA DOMINICANA,2,"DIRECCION GENERAL DE DRAGAS, PRESAS Y BALIZAMIENTO, M.G"
203,MINISTERIO DE DEFENSA,3,ARMADA DE LA REPUBLICA DOMINICANA,3,SERVICIOS DE PESCA
203,MINISTERIO DE DEFENSA,4,FUERZA AEREA DE LA  REPUBLICA DOMINICANA,1,FUERZA AEREA DE LA  REPUBLICA DOMINICANA
203,MINISTERIO DE DEFENSA,4,FUERZA AEREA DE LA  REPUBLICA DOMINICANA,2,HOSPITAL MILITAR FAD DR RAMON DE LARA
203,MINISTERIO DE DEFENSA,4,FUERZA AEREA DE LA  REPUBLICA DOMINICANA,3,FORMACION Y CAPACITACION TECNICO PROFESIONAL (IMESA)
204,MINISTERIO DE RELACIONES EXTERIORES,1,MINISTERIO DE RELACIONES EXTERIORES,1,MINISTERIO DE RELACIONES EXTERIORES
204,MINISTERIO DE RELACIONES EXTERIORES,1,MINISTERIO DE RELACIONES EXTERIORES,2,DIRECCION GENERAL DE PASAPORTES
204,MINISTERIO DE RELACIONES EXTERIORES,1,MINISTERIO DE RELACIONES EXTERIORES,3,INSTITUTO DE EDUCACION SUPERIOR
204,MINISTERIO DE RELACIONES EXTERIORES,1,MINISTERIO DE RELACIONES EXTERIORES,4,CONSEJO NACIONAL DE FRONTERAS
204,MINISTERIO DE RELACIONES EXTERIORES,1,MINISTERIO DE RELACIONES EXTERIORES,5,COMISION NACIONAL DE NEGOCIACIONES  COMERCIALES (CNNC)
205,MINISTERIO DE HACIENDA,1,MINISTERIO DE HACIENDA,1,MINISTERIO DE HACIENDA
205,MINISTERIO DE HACIENDA,1,MINISTERIO DE HACIENDA,2,DIRECCION NACIONAL DE CATASTRO
205,MINISTERIO DE HACIENDA,1,MINISTERIO DE HACIENDA,3,ADMINISTRACION GENERAL DE BIENES NACIONALES
205,MINISTERIO DE HACIENDA,1,MINISTERIO DE HACIENDA,4,DIRECCION GENERAL DE CONTRATACIONES PUBLICAS
205,MINISTERIO DE HACIENDA,1,MINISTERIO DE HACIENDA,5,DIRECCION GENERAL DE POLITICA Y LEGISLACION TRIBUTARIA
205,MINISTERIO DE HACIENDA,1,MINISTERIO DE HACIENDA,6,CENTRO DE CAPACITACIÓN EN POLITICA Y GESTION FISCAL
205,MINISTERIO DE HACIENDA,1,MINISTERIO DE HACIENDA,8,TESORERIA NACIONAL
205,MINISTERIO DE HACIENDA,1,MINISTERIO DE HACIENDA,9,DIRECCIÓN GENERAL DE CONTABILIDAD GUBERNAMENTAL
205,MINISTERIO DE HACIENDA,1,MINISTERIO DE HACIENDA,10,DIRECCION GENERAL  DE PRESUPUESTO
205,MINISTERIO DE HACIENDA,1,MINISTERIO DE HACIENDA,11,DIRECCION GENERAL DE CREDITO PUBLICO
